name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2020-3_Fall,12349,11749,11165,9735,3649
2,2020-3_Fall,11607,11400,10380,6840,2366
3,2020-3_Fall,10729,10049,8514,6320,1577
4,2020-3_Fall,10289,9881,8590,5214,1320
5,2020-3_Fall,9232,8658,7211,5281,1301
6,2020-3_Fall,9006,8724,7603,5546,1535
7,2020-3_Fall,8330,7766,6245,3457,1251
8,2020-3_Fall,7752,7273,6081,3988,1440
9,2020-3_Fall,7207,6784,6070,3879,1032
10,2020-3_Fall,6893,6395,5579,4109,1501
11,2020-3_Fall,6954,6458,5561,4718,2065
12,2020-3_Fall,6625,6367,5673,3983,1224
13,2020-3_Fall,6483,5761,3590,1809,698
14,2020-3_Fall,6317,5912,5382,4165,1304
15,2020-3_Fall,6342,5974,4780,2544,845
16,2020-3_Fall,5103,4519,3664,2610,1027
17,2020-3_Fall,4928,4493,3853,2977,983
18,2020-3_Fall,5304,4732,3795,2763,963
19,2020-3_Fall,5182,4801,3691,2480,678
20,2020-3_Fall,5024,4587,3278,2058,794
21,2020-3_Fall,5244,4959,3871,2018,659
22,2020-3_Fall,4927,4625,3664,2267,703
23,2020-3_Fall,4147,3438,2832,2410,1047
24,2020-3_Fall,3808,3249,2799,2173,721
25,2020-3_Fall,3935,2620,1540,1037,536
