name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2021-2_Summer,30596,29955,28806,26935,13776
2,2021-2_Summer,28672,28077,21272,18967,8025
3,2021-2_Summer,27167,26789,25502,22080,8844
4,2021-2_Summer,25412,23572,18313,13468,5863
5,2021-2_Summer,24578,24114,22859,18502,9140
6,2021-2_Summer,19994,19270,17991,15661,6396
7,2021-2_Summer,19207,18777,17986,15815,5313
8,2021-2_Summer,19126,18912,18585,16535,5758
9,2021-2_Summer,18806,18522,17922,14560,4795
10,2021-2_Summer,17790,16962,14092,8503,5116
11,2021-2_Summer,15773,15063,12476,7496,2298
12,2021-2_Summer,14668,13586,11743,9408,3823
13,2021-2_Summer,13214,11227,7240,4219,1199
14,2021-2_Summer,13726,13206,11600,8233,3063
15,2021-2_Summer,11050,9657,7630,4408,1253
16,2021-2_Summer,12187,11912,10932,8598,2399
17,2021-2_Summer,8346,7066,6147,3750,851
18,2021-2_Summer,10392,9855,7168,3887,1157
19,2021-2_Summer,10060,9400,7148,4204,1347
20,2021-2_Summer,9423,8679,7478,4886,2344
21,2021-2_Summer,9639,8362,4773,2315,776
22,2021-2_Summer,7093,6051,5112,3763,1011
23,2021-2_Summer,7158,5714,4119,2781,930
24,2021-2_Summer,6725,4999,3714,2741,1368
25,2021-2_Summer,6471,4892,3568,2346,835
