name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2023-0_Winter,21687,21223,20846,19797,10544
2,2023-0_Winter,20674,20562,20003,17878,7542
3,2023-0_Winter,19275,18595,16979,13136,6398
4,2023-0_Winter,18731,18578,17575,13592,5979
5,2023-0_Winter,17940,17741,17382,16976,11414
6,2023-0_Winter,17592,17487,17169,15741,9906
7,2023-0_Winter,16727,16431,14833,11011,5304
8,2023-0_Winter,15045,14726,13157,7694,3073
9,2023-0_Winter,14580,14069,12420,10487,4458
10,2023-0_Winter,14426,14103,13586,11922,5941
11,2023-0_Winter,11991,11768,11155,8450,3278
12,2023-0_Winter,10883,10291,9561,7902,3366
13,2023-0_Winter,10503,9523,7485,6085,3180
14,2023-0_Winter,9043,8386,7602,6293,3061
15,2023-0_Winter,9386,9167,7893,5719,2557
16,2023-0_Winter,8109,7564,6533,5489,2408
17,2023-0_Winter,8136,8022,6517,3784,1142
18,2023-0_Winter,7444,6920,6153,5087,2211
19,2023-0_Winter,7270,6895,5787,4666,2024
20,2023-0_Winter,6599,5907,4811,3960,2189
21,2023-0_Winter,6692,6286,4792,2607,733
22,2023-0_Winter,5824,5276,4082,2972,1419
23,2023-0_Winter,5854,5408,4412,2941,1262
24,2023-0_Winter,5652,5217,3880,2202,753
25,2023-0_Winter,5482,4978,3894,2684,1246
