name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2023-1_Spring,49156,48636,47232,42239,7681
2,2023-1_Spring,44033,43078,41177,29989,8068
3,2023-1_Spring,41610,41208,40322,36635,11762
4,2023-1_Spring,40318,39975,39135,37188,16975
5,2023-1_Spring,38767,38340,35767,29221,9458
6,2023-1_Spring,36802,36286,34370,29403,7431
7,2023-1_Spring,34852,34125,28534,19855,4274
8,2023-1_Spring,33583,33294,31249,23431,6912
9,2023-1_Spring,32771,32297,30080,21343,6710
10,2023-1_Spring,31681,31037,26522,17416,3688
11,2023-1_Spring,21043,20743,20111,18333,2908
12,2023-1_Spring,19603,18938,17071,13552,3749
13,2023-1_Spring,19568,19400,18620,15900,4342
14,2023-1_Spring,19136,18935,18392,16631,3526
15,2023-1_Spring,16105,14963,13367,9172,1782
16,2023-1_Spring,15374,14771,13321,8346,1384
17,2023-1_Spring,15022,14246,12084,8466,1978
18,2023-1_Spring,14714,14105,12468,9877,910
19,2023-1_Spring,13062,12212,9257,5937,873
20,2023-1_Spring,13264,12722,10985,6952,1111
21,2023-1_Spring,11431,10696,6658,2961,417
22,2023-1_Spring,10591,9938,8384,4585,1093
23,2023-1_Spring,9394,8421,6578,3249,491
24,2023-1_Spring,8588,7208,5661,4228,1012
25,2023-1_Spring,10955,9751,6829,3542,499
