name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
2020-2_Summer,full_season_summary,28421,430909,392977,306637,108612
2020-3_Fall,full_season_summary,13899,161174,135411,94381,31219
2021-0_Winter,full_season_summary,22301,213694,164900,106285,29913
2021-1_Spring,full_season_summary,32178,366515,319590,237907,81978
2021-2_Summer,full_season_summary,33223,364619,314176,244061,97680
2021-3_Fall,full_season_summary,24228,273399,238035,190047,93463
2022-0_Winter,full_season_summary,20639,229412,202848,162861,77394
2022-1_Spring,full_season_summary,26867,299709,273294,222558,95750
2022-2_Summer,full_season_summary,22197,291479,273929,236291,121172
2022-3_Fall,full_season_summary,18255,231407,216417,180907,86103
2023-0_Winter,full_season_summary,23865,285123,258507,209075,101388
2023-1_Spring,full_season_summary,56365,585325,534174,418451,109034
