season,year,number,mapId,mapUid,bronzeScore,silverScore,goldScore,authorScore
2_Summer,2020,01,749f0c3c-a25f-4f3a-918a-60cd780eff3e,XJ_JEjWGoAexDWe8qfaOjEcq5l8,33000,27000,24000,21794
2_Summer,2020,02,20fbc899-920e-471c-a07e-d2bfabcaff06,zFK9sy3nRLa6FGSpuk_gw0cHLv7,23000,19000,16000,15061
2_Summer,2020,03,73edcfb9-0f84-4fd8-9c52-272dae4e82e5,xfRvyL9ByoJoPhlAvcNzbc4xD88,31000,25000,22000,20651
2_Summer,2020,04,6e1523ee-b4ab-40a1-bc4c-879716d0082b,8rWFH6JI2N1UuHeaS9dmMkTojS,40000,33000,28500,26207
2_Summer,2020,05,28ee72f3-ff6e-45d7-89c3-781e99f5141b,eWR2OWAaiqQOISa_0roXlpsnQLl,50000,40000,37000,33258
2_Summer,2020,06,ebfad46f-bffb-416b-97be-5cc5508f42f3,NlKBKke_lk9hwhoEMb6rBQrsWC5,44000,35000,31000,28887
2_Summer,2020,07,ab9c3432-18a6-49f0-bfcc-fe95684d54d8,OG0yFZ4bA1iiybF7n4gaZkFO6m9,51000,41000,36000,33605
2_Summer,2020,08,bb5ed92d-f2af-462e-a912-7aeb686ff90c,iWUvrk1X45PaUmKv6HUDak4W6V2,30000,22000,20000,16594
2_Summer,2020,09,327c47e9-db3f-4688-b995-3bf06f6e6ca3,5weePaThiuxiK4mSHOCokBV6bTg,75000,60000,54000,49887
2_Summer,2020,10,28338207-805e-4d74-bc86-a889a88c682a,oTGP3jwCiubHBM6KtuR_aCtGWZi,63000,50000,45000,41575
2_Summer,2020,11,cdb67192-3ef2-48b8-bb02-7a1324fd9fd1,gMsrsG59cdouiAoahyk7wOaPPC3,41000,34000,30000,26846
2_Summer,2020,12,ddec9912-f45a-4ff3-bdb3-fef87b4ce1a5,EY3IfWHWGUtreJzWmAWp00ZT6z2,66000,53000,47000,43936
2_Summer,2020,13,80831584-4bd2-47be-b537-04c2bd6fa904,1MPMjPNGKW_U2Aa1RGyfPDnJVhd,57000,45000,41000,37432
2_Summer,2020,14,9e747437-2973-4cec-be45-8304f22616bf,uQrUHGT16AptHdxkUKL3MWuh0Gm,46000,37000,33000,30433
2_Summer,2020,15,33663b59-63ca-4713-bbec-0b40d9120908,159XBIpjid7Wh4mjIRQ6wazyme4,80000,62000,55000,50620
2_Summer,2020,16,d15b2245-d73e-44a3-b890-83f3a33f8f06,8JfhDBlUSjG2qf9hqssAJupE0rc,85000,65000,58000,42933
2_Summer,2020,17,fca72624-6bf8-47e1-8bb7-a7f8f3e4a4b2,4dRIXY5T5CMh6LPcL88l0gEpBkl,76000,61000,54000,50324
2_Summer,2020,18,6a3bf410-eeb1-4feb-a424-40fdbfd83971,oSqyiU8CN8A4KnYRsqgcIOshYl2,65000,52000,46000,41696
2_Summer,2020,19,fdd9ee73-c306-4cfb-9643-99d7432bd49a,VjBmIAFe_vihp4dA6gXyxauMh_1,90000,72000,65000,59581
2_Summer,2020,20,2d8dac70-af87-46a8-b34a-fea5ec550244,bTxEqrds5pszV3PZTdK57AnYWfd,64000,51000,46000,42117
2_Summer,2020,21,22cb73e3-e95c-46a5-81e9-d8011624735a,tHdTCbauyKWB_ft2NVRznkCE4rk,70000,56000,50000,46637
2_Summer,2020,22,df6da762-689c-4781-9e13-c5d85b48c3f9,dAUOBz9H2iKzyo8HURb3Ce3cwT9,75000,60000,52000,47153
2_Summer,2020,23,dbfa5125-b4ba-4711-95a0-791627354c22,FcNO1D7hn9nLuCrjqSA5_7slkR1,71000,57000,51000,47259
2_Summer,2020,24,c1510106-6be4-4b29-8180-67c27317b0b2,0fJFNOS8ZzfDA6fJQrr5JU0JIom,80000,64000,56000,53291
2_Summer,2020,25,df8f7ab1-522b-4c62-a456-478f32f53456,2katsDjZmPOeQYE94jkbnSoJA64,120000,90000,78000,68261
3_Fall,2020,01,c8c6d134-ec15-4bb1-bee6-6303eb88fc12,T5815lg7ladHiNv1hsg0TwIpzIj,29000,24000,21000,19291
3_Fall,2020,02,3ce67c4b-573b-4de9-a6a6-b69f9a00636a,7oYakB2GeK4TAfxf2Evx7sAyXeb,29000,23000,20000,18843
