name,filename,mapId,mapUid,bronzeScore,silverScore,goldScore,authorScore
$909D$908r$907e$906a$905m Emo$905t$906i$907o$908n$909s $905+,Dream Emotions +.Map.Gbx,da746a9d-43be-4c44-a939-a7c87ad5e445,_k5Hay8phkwQ1QQ9usuPPdvPwE,59000,47000,42000,38745
$s$090D$4A2u$8B3p$BB5l$FC6i$FC6c$FB4i$FA2t$F90y,2F9A67B9E358FD1CB46D1D24CED04D6C93ECCA4444E4EB55627EE2962EBD42CBBDAA654A808BC479003F8ED1D01EE1F1.Map.Gbx,8a4a610f-c0be-4049-a793-22d33034e8fb,_QoUMUvEMGTPVyjA2T9KIWtuNe0,64000,51000,45000,42000
Hallelujah Mountains ft Orbittall,99876 - Hallelujah Mountains ft Orbittall.Map.Gbx,a08544fb-49d3-480c-bbed-e58e74e9d5f5,127omnsqLJyCVl5jdoDq1yhHJ_b,73000,58000,51000,48021
Lets burn some rubber!,Lets burn some rubber!.Map.Gbx,c3cc84ca-44d4-460f-bb9f-2575fed5c700,1Oh1EXrCSABgy0CNNnEnqYwO4V2,68000,54000,48000,44924
$6f0B$7e0R$8c0O$8b0K$990E$a80N $c50C$d30I$e10T$f00Y $0f0 $fff $sft Contact,BROKEN CITY   ft Contact.Map.Gbx,8f663e05-951e-489b-a04d-bffe1b6e69a0,2y9dwmSD7IG8BrGldvpVs9GnZea,65000,52000,46000,43257
the evokers,the evokers.Map.Gbx,6f82df64-10fa-4e18-8bbd-d0e0a88df5a4,3KCC4h7dlBbVjC6NGtX0N73hF22,69000,55000,49000,45528
$f00$i$oRubicante,Rubicante.Map.Gbx,346463bf-6d75-43ae-a364-ea9688488c4d,4NE3LTtY5SQHKlxA78eXKoKYESd,62000,50000,43000,40890
$82B$o$s$83Bb$83Cs$84Ce$74Dr$75Dv$75Ee$76Er,7076FA55700E707C0D371081E0BD635DF6071CF330372E723A89F01CCFCF8679396046020A0ECC87444DD41A7178B4EE.Map.Gbx,44002b3e-2f86-4314-9d64-7dcc98baf232,50mJjApoBRJ1jhjD4ROYJnh7872,73000,58000,52000,48300
$o$CCCStratus $FFFft $F93orbittall,Stratus ft orbittall.Map.Gbx,eef98070-3e7d-445c-8419-2c222170847f,5ICuBA16jEjYhZezOEcFnX72d4n,65000,52000,46000,42935
Splashdown speedway,Splashdown speedway.Map.Gbx,bcc253d6-8013-4cfc-9892-abcc464047fa,62guEIF6MWuP0A8alGoKGKGn5oe,46000,37000,33000,30406
$s$F88Li$E87fe$E86 g$D95oe$D94s $C93on,Life_goes_on.Map.Gbx,6e69ce27-517a-4e4c-b80c-cf3a58116920,7RNbdmqye1LbhfoT254jehxQhtg,87000,69000,61000,57486
$i$s$5bcTotodile $z$fffft' Jackmania,Totodile ft' Jackmania.Map.Gbx,d9694e74-c196-4ebf-9131-3ed4750b6a4e,7xgnMnxO5ariWbUHksrLLCDGPN1,72000,58000,51000,47820
$o$FD2Construction $s$F70Canyon,Construction Canyon.Map.Gbx,52347de2-8902-4cb4-b168-289cce795039,9eftPAwNamIzrsTSPY1AcJXFwnl,81000,65000,57000,53488
$s$n$FFFSl$EFFic$DFFk $CFFCi$BFFrc$AFFui$9FFt,Slick Circuit.Map.Gbx,3894591c-eaa6-4ed0-8d49-8352a2d8c2a3,9Pb6R5yBUaCTRMxiRO2ahZnwDx8,62000,50000,44000,40836
$6F6V$6E7i$7C8t$7B9a$89Bs$88Cc$86Do$95Ep$93Fe,Vitascope.Map.Gbx,d7ad5c7d-9def-44b4-923c-4f0e5022a1ab,AdfRhSziCFDQNHTlD89hHYIT38j,72000,58000,51000,47945
$s$FFFFROST$C00NOVA,FROSTNOVA.Map.Gbx,e0fe4f91-5cd8-400a-9d60-671add873083,aeJo4TWSDGqPbyA2qWd1zBE5VRh,65000,52000,46000,42719
$o$n$i$700F$700i$700n$700a$700l$800 $A00R$C00u$D00s$F00h,Final Rush.Map.Gbx,902129c8-4416-467d-a7f4-eaa53461002f,apJ9e1hZMBXsTmdEZYXriACQi72,91000,73000,64000,60098
$F00A$A00J$500A$000X,AJAX.Map.Gbx,0d901cec-a271-4f6a-bf3c-54876e043870,AxFKRq4RgTwEK9YPCj7pQlZI747,66000,53000,47000,43848
$O$F5FBlossom $O$FA0Industries,Blossom Industries.Map.Gbx,0b0ecf1d-3cf2-4eca-baaf-b08b6f79d5b5,B_YOmgA91cMZILYvi_WYEGLug7c,56000,45000,40000,37293
Python,Python.Map.Gbx,ca18730c-f08f-4c08-99f4-7dc91d830219,BZHsLzzl5OqINgIDY89hNNkiuA2,61000,49000,43000,40524
NEO-CUPRA - $0bfSUSPENDIDA DRIFT,NEO-CUPRA_-_SUSPENDIDA_DRIFT.Map.Gbx,98986b7b-6852-4618-8cb1-ae491cd793b3,Dektm87ySLcFy_dvCE6ilim79Z,66000,53000,47000,43647
$4f4$n$oPlanet $20cMagnet,Planet Magnet.Map.Gbx,f889d724-4757-41e7-a253-f671cd6622e7,dJ0wcW1uLN8bxOij2YTY7N_avjh,56000,45000,40000,37168
$S$909Lavender $cc3Haze,Lavender Haze.Map.Gbx,01be66e0-4ca2-4a2b-ba16-af188e19f002,DUW55Q6Xal69GPjgO5Y95NtSaYl,64000,51000,45000,42175
$i$o$n$0dbAlkeline,Alkeline.Map.Gbx,83cb0323-2bdf-4d2a-99a5-c2b84490bbae,ECzNE0z9RrCazK3m09fRHoo9YW3,58000,46000,41000,38248
$F09T$D2Ar$A4Bu$85Ds$57Et$39F $39FI$47Fs$45Fs$54Fu$52Fe$60Fs V2,Trust Issues V2.Map.Gbx,38f82b7b-da8b-42d1-82dc-7598e3606508,Em8dr_7ZF1q06h0p1m1VsO_XCe6,69000,55000,49000,45487
$i$fffReimagined Dreamscapes ,Reimagined Dreamscapes .Map.Gbx,b32a7777-2979-4b7c-b016-8cd81f8ddd17,eQ1rVmKtT04DqJZkR2yWgNQ8x04,79000,63000,56000,52045
Knock Turn All,Knock Turn All.Map.Gbx,64ab47c9-727f-4c17-93f8-30c68d883822,FnqqWB5ddCkUikT45Cy85sKU_06,70000,56000,49000,46127
Louxoria,Louxoria.Map.Gbx,90eb0412-4f06-4c49-99d2-8b555459be8b,Ftn5_q_4fEcPb1chiRODdaIrxBm,72000,58000,51000,47825
$i$093CRAINN $093SA $093SPÉIR,CRAINN SA SPÉIR.Map.Gbx,8cdce73e-a646-402e-b7a2-8fdebd65d481,G_4Q6e5Y5t7UwY4OrjtsceTn_Hl,55000,47000,42500,39913
$o$390Buckled Gardens,Buckled Gardens.Map.Gbx,feaf02e9-b9ab-4d6b-afbe-4ef71df1f450,Gd8ladWnQocPwrfKPHrOj61HxXh,66000,53000,46000,43373
$30FM$31Ee$32Es$34Du$35Dr$36Ca ft Rossa-,Mesura ft Rossa-.Map.Gbx,0ed5249a-8fa4-44ca-b24d-44c4fdecba6e,gdb1tM1ArugWjnrnS5CSA4DxKI7,66000,53000,47000,43978
$o$3FFC$3FEE$3FCN$3FBO$3F9T$3F8E$3F6S,CENOTES.Map.Gbx,4e5f75cd-dcf8-48ba-9f85-e2644683687c,gocb6Hahbv_RxljZ5_wgSsDmHr9,60000,48000,42000,39527
how will we get down,how will we get down.Map.Gbx,c58a2b7d-3e0f-41a4-9f6d-573e01f1e659,h7LcgIqUbq0Si2E_AdyoUseLmza,74000,59000,52000,48951
$s$iForget-Me-Not $z$s$3cf(ft' agrabou),Forget-Me-Not (ft' Agrabou).Map.Gbx,a6f435d6-7d3c-4984-a708-6b51a6be4d35,ho7WKyIBTV_dNmP9hFFadUvvtLd,88000,70000,62000,58125
$3c6Wei$0c6des $g- ft' Gommettes,Weides - ft' Gommettes.Map.Gbx,d9991292-359a-4b23-a003-5befb4edd2ad,hrorvYCU7WE2bh9aVW9HsMbFtGc,60000,50000,44500,42518
ParkDrive ft' WISPschlumpy,ParkDrive ft' WISPschlumpy.Map.Gbx,1f8d2a7d-8628-482a-88e9-02a28d805352,HVWPIUGFbtDTbQ6_r5bRL3MWWwj,76000,61000,54000,50000
